Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00     51.61     0.00        1     0.00     0.00  ImFontAtlas::~ImFontAtlas()
  0.00     51.61     0.00        1     0.00     0.00  ImGuiContext::~ImGuiContext()
  0.00     51.61     0.00        1     0.00     0.00  ImDrawListSharedData::ImDrawListSharedData()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::Initialize()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::GetMainViewport()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::StyleColorsDark(ImGuiStyle*)
  0.00     51.61     0.00        1     0.00     0.00  ImGui::LoadIniSettingsFromDisk(char const*)
  0.00     51.61     0.00        1     0.00     0.00  ImGui::SaveIniSettingsToMemory(unsigned long*)
  0.00     51.61     0.00        1     0.00     0.00  ImGui::LoadIniSettingsFromMemory(char const*, unsigned long)
  0.00     51.61     0.00        1     0.00     0.00  ImGui::NavInitRequestApplyResult()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::TableSettingsAddSettingsHandler()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::GetStyle()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::Shutdown()
  0.00     51.61     0.00        1     0.00     0.00  ImGui::NavApplyItemToResult(ImGuiNavItemData*)
  0.00     51.61     0.00        1     0.00     0.00  ImFont::BuildLookupTable()
  0.00     51.61     0.00        1     0.00     0.00  ImFont::GrowIndex(int)
  0.00     51.61     0.00        1     0.00     0.00  ImFont::ImFont()
  0.00     51.61     0.00        1     0.00     0.00  ImFont::~ImFont()
  0.00     51.61     0.00        1     0.00     0.00  ImGuiIO::ImGuiIO()
  0.00     51.61     0.00        1     0.00     0.00  parse_version

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.

 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

Copyright (C) 2012-2020 Free Software Foundation, Inc.

Copying and distribution of this file, with or without modification,
are permitted in any medium without royalty provided the copyright
notice and this notice are preserved.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.02% of 51.61 seconds

index % time    self  children    called     name
                0.00   50.36      90/90          std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&) [2]
[1]     97.6    0.00   50.36      90         thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
               22.46   27.76      55/55          minimax(Game&, int, int, int, Move*) [4]
                0.14    0.00      80/86          void std::vector<Move, std::allocator<Move> >::_M_realloc_insert<Move const&>(__gnu_cxx::__normal_iterator<Move*, std::vector<Move, std::allocator<Move> > >, Move const&) [20]
                0.00    0.00      68/1905382     Game::check_for_winner(bool) [9]
                0.00    0.00      78/14017974     Game::toString[abi:cxx11]() [10]
                0.00    0.00      77/15447887     Game::move(Piece*, Position) [16]
                0.00    0.00       1/1676116     tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
                0.00    0.00      89/414         Game::Game(Game const&) [121]
-----------------------------------------------
                0.00   50.36      83/83          std::__future_base::_State_baseV2::_M_do_set(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [3]
[2]     97.6    0.00   50.36      83         std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&) [2]
                0.00   50.36      90/90          thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
-----------------------------------------------
                                                 <spontaneous>
[3]     97.6    0.00   50.36                 std::__future_base::_State_baseV2::_M_do_set(std::function<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> ()>*, bool*) [3]
                0.00   50.36      83/83          std::_Function_handler<std::unique_ptr<std::__future_base::_Result_base, std::__future_base::_Result_base::_Deleter> (), std::__future_base::_Task_setter<std::unique_ptr<std::__future_base::_Result<void>, std::__future_base::_Result_base::_Deleter>, std::__future_base::_Task_state<std::_Bind<void (*(std::_Placeholder<1>, Game, Move, std::mutex*, int*, int*, Move*))(int, Game&, Move, std::mutex*, int*, int*, Move*)>, std::allocator<int>, void (int)>::_M_run(int&&)::{lambda()#1}, void> >::_M_invoke(std::_Any_data const&) [2]
-----------------------------------------------
                              327095             minimax(Game&, int, int, int, Move*) [4]
               22.46   27.76      55/55          thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
[4]     97.3   22.46   27.76      55+327095  minimax(Game&, int, int, int, Move*) [4]
                0.65    7.55  364112/364119      Game::get_all_moves(bool) [8]
                0.62    5.41 1905288/1905382     Game::check_for_winner(bool) [9]
                5.97    0.00 14017896/14017974     Game::toString[abi:cxx11]() [10]
                2.87    0.00 1675836/1676116     tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
                2.07    0.00 2441535/2441535     bool tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::lookup<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*)>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::const_accessor*, bool, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*), tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node*) [12]
                0.88    0.00 15447810/15447887     Game::move(Piece*, Position) [16]
                0.13    0.50  332579/6801318     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
                0.38    0.00 12771842/12771842     Game::moveBack(MoveDetails) [17]
                0.36    0.00 1762107/1762107     void std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > >::_M_realloc_insert<std::tuple<int, Move> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, std::tuple<int, Move>&&) [18]
                0.34    0.00  265963/266613      void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>) [19]
                0.04    0.00   51208/51208       void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#1}>) [21]
                              327095             minimax(Game&, int, int, int, Move*) [4]
-----------------------------------------------
                0.00    0.00      26/6801318     Game::log_move(Move) [25]
                0.13    0.50  332579/6801318     minimax(Game&, int, int, int, Move*) [4]
                0.94    3.66 2451320/6801318     Game::check_for_winner(bool) [9]
                1.55    6.00 4017393/6801318     Game::get_all_moves(bool) [8]
[5]     24.8    2.62   10.16 6801318         Piece::find_valid_moves(Game&, Position (&) [27]) [5]
                1.72    8.30 18708904/18708904     Game::leap_then_look(Piece*, Position) [6]
                0.13    0.01  326614/21256851     Game::check_for_check(bool, Position) [7]
-----------------------------------------------
                1.72    8.30 18708904/18708904     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
[6]     19.4    1.72    8.30 18708904         Game::leap_then_look(Piece*, Position) [6]
                7.43    0.87 19087635/21256851     Game::check_for_check(bool, Position) [7]
-----------------------------------------------
                0.13    0.01  326614/21256851     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
                0.72    0.08 1842602/21256851     Game::check_for_winner(bool) [9]
                7.43    0.87 19087635/21256851     Game::leap_then_look(Piece*, Position) [6]
[7]     17.9    8.28    0.97 21256851         Game::check_for_check(bool, Position) [7]
                0.97    0.00 188955279/188955279     check_ob(Position) [15]
-----------------------------------------------
                0.00    0.00       7/364119      call_minimax_fast(Game&) [22]
                0.65    7.55  364112/364119      minimax(Game&, int, int, int, Move*) [4]
[8]     15.9    0.65    7.55  364119         Game::get_all_moves(bool) [8]
                1.55    6.00 4017393/6801318     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
-----------------------------------------------
                0.00    0.00      26/1905382     Game::switch_turns[abi:cxx11]() [26]
                0.00    0.00      68/1905382     thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
                0.62    5.41 1905288/1905382     minimax(Game&, int, int, int, Move*) [4]
[9]     11.7    0.62    5.41 1905382         Game::check_for_winner(bool) [9]
                0.94    3.66 2451320/6801318     Piece::find_valid_moves(Game&, Position (&) [27]) [5]
                0.72    0.08 1842602/21256851     Game::check_for_check(bool, Position) [7]
-----------------------------------------------
                0.00    0.00      78/14017974     thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
                5.97    0.00 14017896/14017974     minimax(Game&, int, int, int, Move*) [4]
[10]    11.6    5.97    0.00 14017974         Game::toString[abi:cxx11]() [10]
-----------------------------------------------
                               74647             tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
                0.00    0.00       1/1676116     thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
                0.00    0.00     279/1676116     bool tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::lookup<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*)>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::const_accessor*, bool, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*), tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node*) [12]
                2.87    0.00 1675836/1676116     minimax(Game&, int, int, int, Move*) [4]
[11]     5.6    2.87    0.00 1676116+74647   tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
                               74647             tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
-----------------------------------------------
                2.07    0.00 2441535/2441535     minimax(Game&, int, int, int, Move*) [4]
[12]     4.0    2.07    0.00 2441535         bool tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::lookup<false, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*)>(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::const_accessor*, bool, tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node* (*)(tbb::detail::d1::tbb_allocator<tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket>&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::array<int, 3ul> const*), tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::node*) [12]
                0.00    0.00     279/1676116     tbb::detail::d2::concurrent_hash_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::array<int, 3ul>, tbb::detail::d1::tbb_hash_compare<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > > >::rehash_bucket(tbb::detail::d2::hash_map_base<tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, std::array<int, 3ul> > >, tbb::detail::d1::spin_rw_mutex>::bucket*, unsigned long) [11]
-----------------------------------------------
                                                 <spontaneous>
[13]     2.3    0.00    1.17                 move_with_opening(Game&, Move (*)(Game&)) [13]
                1.15    0.02       1/1           call_minimax_IDS_fast(Game&) [14]
                0.00    0.00     650/266613      void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>) [19]
                0.00    0.00      26/26          lookupMove(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&) [186]
-----------------------------------------------
                1.15    0.02       1/1           move_with_opening(Game&, Move (*)(Game&)) [13]
[14]     2.3    1.15    0.02       1         call_minimax_IDS_fast(Game&) [14]
                0.00    0.02       7/7           call_minimax_fast(Game&) [22]
-----------------------------------------------
                0.97    0.00 188955279/188955279     Game::check_for_check(bool, Position) [7]
[15]     1.9    0.97    0.00 188955279         check_ob(Position) [15]
-----------------------------------------------
                0.00    0.00      77/15447887     thread_func_minimax(int, Game&, Move, std::mutex*, int*, int*, Move*) [1]
                0.88    0.00 15447810/15447887     minimax(Game&, int, int, int, Move*) [4]
[16]     1.7    0.88    0.00 15447887         Game::move(Piece*, Position) [16]
-----------------------------------------------
                0.38    0.00 12771842/12771842     minimax(Game&, int, int, int, Move*) [4]
[17]     0.7    0.38    0.00 12771842         Game::moveBack(MoveDetails) [17]
-----------------------------------------------
                0.36    0.00 1762107/1762107     minimax(Game&, int, int, int, Move*) [4]
[18]     0.7    0.36    0.00 1762107         void std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > >::_M_realloc_insert<std::tuple<int, Move> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, std::tuple<int, Move>&&) [18]
-----------------------------------------------
                              665893             void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}> >(__gnu_cxx::__normal_iterator<std::tuple<int, Move>*, std::vector<std::tuple<int, Move>, std::allocator<std::tuple<int, Move> > > >, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>, long, __gnu_cxx::__ops::_Iter_comp_iter<minimax(Game&, int, int, int, Move*)::{lambda(std::tuple<int, Move> const&, std::tuple<int, Move> const&)#2}>) [19]
                0.00    0.00     650/266613      move_with_opening(Game&, Move (*)(Game&)) [13]
                0.34    0.00  265963/266613      minimax(Game&, int, int, int, Move*) [4]
